,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Should AI Make Decisions? - a table consisting of a topic (ex: should AI decide punishments), their stance, reason, AI's view, and if it changed their mind",,,,,,,,,,,,,,,,,,,,,,,,,
🧠 Artifact  (think on this at home and discuss) ,Chat with their SPARK companion on the idea they want to create,Ideate on the project that they want to build further,,,,,,🧠 Artifact  (think on this at home and discuss) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WEEK 1 SESSION 2: Make It Make Sense,,LEARNING OUTCOMES 🚀,,WEEK 2 SESSION 4: Sorting Truth,,LEARNING OUTCOMES 🚀,,WEEK 3 SESSION 6: Many Ways to Be Right,,LEARNING OUTCOMES 🚀,,WEEK 4 SESSION 8:  Decisions Under Pressure,,LEARNING OUTCOMES 🚀,,WEEK 5 SESSION 10: Say It So It Sticks,,LEARNING OUTCOMES 🚀,,WEEK 6 SESSION 12: The Decision Lab,,LEARNING OUTCOMES 🚀,,WEEK 7 SESSION 14: The Showcase,,
🔥 Warm-up,"Reverse-It - Students spin two wheels to get an object and a twist, then re-imagine how that object could look and work in a new way.",Develop flexible thinking by breaking the “this is how it’s supposed to be” mindset,,🔥 Warm-up,Reclassify Everything - Students group everyday objects based on unexpected or unusual traits,Understand that categories depend on the rules we choose,,🔥 Warm-up,Creative Pattern Inventions - students study real-world patterns and break them down into what repeats and what changes.,"Develop skills in observing structure, not just details",,🔥 Warm-up,"Redesign Conversations - Turn ordinary small talk into interesting, curious questions",Practice moving beyond surface-level communication,,🔥 Warm-up,"Clarity Speed Round - Describe a simple object in 3 different ways (to a toddler, a scientist, and an alien)",Learn to adjust explanations based on audience knowledge level,,🔥 Warm-up,"Say It Without Saying It - 
Students must communicate a message without using key words.
Ex: Explain “climate change” without saying “earth, hot, temperature, pollution.",Develop precise communication skills under constraints,,DEMO DAY 🚀,,
💡 Key Topic,Claim Builder - Learn how to make premises and conlusions logically using claims,Learn how to build logical arguments and understand how strong reasoning works,,💡 Key Topic,If/Else Decision Trees,Build foundations for algorithmic thinking,,💡 Key Topic,Basics of Set Theory,Understand that sets are groups based on shared properties,,,"Social Deduction Mysteries - Engage in activities that require observation, inference, and collaboration to get to the answer",Practice observation and inference,,,Build the Bridge - Can you explain your project so that anyone — even a grandparent — can understand it?,"Practice explaining ideas in simple, relatable language",,💡 Key Topic,Game Theory (Basics),Learn about rational decisions,,,,
,,,,,,,,,"Venn Thinking - How Categories Overlap - 
Before Set Theory formally — introduce overlapping traits",Learn to visualize similarities and differences clearly,,💡 Key Topic,Navigating Conflict Activity - Scenarios to determine what the optimal way of resolution is,Learn strategies for resolving disagreements constructively,,💡 Key Topic,Introduction to Persuasion,"Learn that effective persuasion combines logic, clarity, and connection",,,Cognitive Biases,Understand why humans don’t act rationally,,,,
✏️ DIY,"Fact, Trick, or Opinion Quiz - Distinguish objective facts from opinions and misleading claims","Learn to tell the difference between facts, opinions, and misleading information",,✏️ DIY,Generate If/Else Decision Trees,Practice turning ideas into logical decision flows,,✏️ DIY,"Odd One Out — But Defend It - 
Show 4 items (e.g., cat, lion, dolphin, shark).
Students choose the odd one out but must justify their logic.",Practice justifying answers using clear reasoning,,✏️ DIY,"Team Tower - students work in teams to clearly explain what they’ve learned and built at Ground Zero in an engaging way to notice how their message lands, and how the audience reacts, and reflect",Build teamwork and coordination skills,,✏️ DIY,"One Idea, Many Voices - Express the same idea for different audiences (parent, teacher, stranger) and tones (🙂 friendly | 🎓 formal | 🚀 persuasive)",Understand how tone changes meaning and impact,,✏️ DIY,Agent Mission Briefing - students examine a well-crafted prompt to understand how it guides an AI agent,Understand how structured prompts guide AI agent behavior,,,,
,,,,,,,,,,,,,,,,,Persuasion Lab ,"Experiment with persuasive techniques like strong openings, benefits, and emotional appeal",,,,,,,,
,If/Then Chains - Build a chain of logical consequences using If/Then reasoning.,Understand cause-and-effect relationships in ideas and decisions,,,Chain of Reasoning - Students map thinking steps that link a claim to a clear conclusion.,"Practice explaining how we know something, not just what we think",,,"Same Thing, Different Groups - Give students one object. They must place it into 3 different categories, and explain why each is correct.",Realize that multiple answers can be logically valid,,,"Point of View Carousel: Argue the other Side - Through guided debate exercises and clear signposting, students practice articulating ideas and understanding multiple perspectives",Develop empathy by articulating opposing views,,🤖 AI Lab,"AI Tone Transformer - Students give AI a sentence and ask it to rewrite:
- persuasive
- funny
- emotional
- formal","Recognize that communication is shaped by style, emotion, and intent, not just content",,,,,,,,
,,,,,,,,,,,,,,,,,AI Hook - Ask AI to generate responses for each audience and ask it to start with a strong hook. Reflect on hooks and their effectiveness.,Analyze how different hooks capture attention,,,"Agent Planner - Design step-by-step plans for AI agents, incorporating tools, verification checks, and fallback options to ensure reliable outcomes.",Learn to design AI workflows that include verification checks,,,,
,Pattern Puzzles - Solve visual and numerical puzzles to practice spotting patterns and relationships,Strengthen problem-solving skills by spotting patterns and connections,,🤖 AI Lab,Train a Classification Model,Understand that AI learns by being given examples and labels,,🤖 AI Lab,Work on their product pitch with AI ,They perfect their pitch,,🤖 AI Lab,"Upgrade your AI Pitch - students pitch their AI project, get feedback, and revise their pitch to make it stronger",Use feedback to improve communication,,🧠 Artifact  (think on this at home and discuss) ,Poster Jam! - Design a poster for your project,"Combine persuasion, clarity, and design",,🤖 AI Lab,"The High-Stakes AI Decision Room - Students act as a decision team using AI in time-sensitive scenarios where:

choices affect outcomes
bias can distort judgment
cooperation matters
prompts must be precise",Identify cognitive biases in AI-generated suggestions,,,,
🤖 AI Lab,Generate a Pattern Puzzle with AI - Use AI to create pattern puzzles while learning how clear prompts and specific instructions lead to better results,Understand how prompts shape AI output and learn how to guide AI more effectively,,🧠 Artifact  (think on this at home and discuss) ,My Product Decision Tree,Use logic rules to show how your product works or makes decisions,,🧠 Artifact  (think on this at home and discuss) ,Objections & Overlap Slide,Improve their pitch through critical reflection,,🧠 Artifact  (think on this at home and discuss) ,Refine the Pitch with the Poster,Create a solid pitch,,,,,,🧠 Artifact  (think on this at home and discuss) ,My Decision Playbook,Internalize bias awareness in real-world contexts,,,,
,"Human Vs. AI Story - You will create your own character, write a short story, and then use AI to generate a second version of the same story. After that, you will compare the two and reflect on how the prompts you use can change the final output",Understand how prompts shape AI output and learn how to guide AI more effectively,,,,,,,,,,,,,,,,,,,,,,,,
🧠 Artifact  (think on this at home and discuss) ,Students use their AI companion to help them answer 4 simple prompts about their product and turn it into a 1-page Product Card,Practice turning a vague idea into a clear product concept,,,,,,,,,,,,,,,,,,,,,,,,
